date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,5,3.25,4230,21455,2.0,0,0,3,10,2720,1510,1990,0,98074,47.6375,-122.015,3280,22393
0,1,1.0,620,8261,1.0,0,0,3,5,620,0,1939,0,98106,47.5138,-122.36399999999999,1180,8244
0,4,3.5,3440,5000,2.0,0,0,3,11,2560,880,2006,0,98199,47.6672,-122.40899999999999,3090,10241
0,5,3.75,4360,8504,2.0,0,4,3,10,3530,830,2014,0,98033,47.6936,-122.19,2680,9000
0,3,1.75,1460,12367,2.0,1,4,4,8,1120,340,1970,0,98023,47.3311,-122.375,1970,18893
0,3,2.25,1620,6415,2.0,0,0,4,7,1620,0,1989,0,98038,47.3577,-122.038,1640,7253
0,3,1.0,1020,5950,1.0,0,0,3,6,880,140,1950,0,98106,47.5436,-122.35700000000001,1800,5950
0,3,2.5,1900,3366,2.0,0,0,3,9,1900,0,1996,0,98033,47.6679,-122.184,2500,3954
0,3,2.5,4570,10615,2.0,0,0,3,12,4570,0,1991,0,98027,47.5533,-122.09700000000001,3860,11576
0,5,2.0,2040,6180,2.0,0,0,4,7,2040,0,1908,0,98118,47.5503,-122.28,1870,4365
0,3,2.25,1660,7003,2.0,0,0,3,7,1660,0,1996,0,98030,47.3599,-122.18799999999999,1840,6680
0,4,2.5,3100,7250,2.0,0,0,3,9,3100,0,2010,0,98115,47.6961,-122.316,1240,6670
0,4,2.25,2720,18295,1.0,0,0,4,8,2000,720,1979,0,98075,47.5851,-122.073,2720,18295
0,4,2.5,2052,3723,2.0,0,0,3,8,2052,0,2014,0,98003,47.2824,-122.295,2052,5250
0,3,1.5,1600,4128,1.5,0,0,3,8,1250,350,1906,0,98122,47.6122,-122.29700000000001,1540,3976
0,2,1.0,810,8382,1.0,0,0,4,5,810,0,1942,0,98146,47.5033,-122.35799999999999,1040,8382
0,3,2.25,990,736,2.5,0,0,3,8,880,110,2009,0,98105,47.6605,-122.319,1030,1201
0,3,1.0,960,10125,1.0,0,0,4,7,960,0,1952,0,98003,47.3335,-122.305,1250,9769
0,5,2.0,1840,9240,1.0,0,0,4,7,1540,300,1942,1958,98133,47.7308,-122.34,1200,5250
0,3,1.75,1830,5488,1.0,0,2,4,7,1010,820,1939,0,98115,47.6914,-122.309,1200,5488
0,3,2.25,1550,1919,3.0,0,0,3,8,1550,0,2003,0,98107,47.6729,-122.37899999999999,1550,2918
0,4,3.0,2150,8119,2.0,0,0,3,8,2150,0,1953,2004,98039,47.6335,-122.236,1590,8119
0,4,2.75,3170,7634,2.0,0,0,3,10,3170,0,1992,0,98075,47.5774,-122.054,2940,7846
0,5,3.5,4490,6000,2.0,0,0,3,10,3200,1290,2006,0,98027,47.5396,-122.073,4530,6000
0,3,2.5,1600,6700,2.0,0,0,3,8,1600,0,1991,0,98042,47.3618,-122.074,1790,7577
0,4,2.5,2460,7350,2.0,0,0,3,9,2460,0,1989,0,98023,47.3061,-122.34899999999999,2390,8568
0,4,1.0,1020,11383,1.5,0,0,5,6,1020,0,1947,0,98155,47.7429,-122.321,1290,11213
0,3,2.5,1910,4488,2.0,0,0,3,8,1910,0,1998,0,98007,47.6176,-122.14,1530,3696
0,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,1982,2008,98004,47.6312,-122.223,3890,20060
0,3,3.0,1730,2940,3.0,0,0,3,7,1730,0,1985,0,98117,47.6911,-122.39200000000001,1690,4410
0,4,1.75,1670,8856,1.0,0,2,3,7,1070,600,1955,0,98178,47.5056,-122.251,1660,8088
0,3,2.5,1600,3172,2.0,0,0,3,7,1600,0,2002,0,98053,47.6868,-122.042,1690,3698
0,3,2.0,1450,9044,2.0,0,0,3,7,1450,0,1990,0,98022,47.1955,-121.98700000000001,1450,9044
0,2,1.0,940,7700,1.0,0,0,4,6,940,0,1916,0,98133,47.7067,-122.354,1290,7375
0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203
0,3,2.5,1950,8251,2.0,0,0,3,7,1950,0,1990,0,98001,47.343,-122.28,1540,8588
0,3,2.5,1440,5434,2.0,0,0,3,7,1440,0,2003,0,98053,47.6818,-122.03399999999999,1560,3770
0,3,2.5,1670,5146,2.0,0,0,3,8,1670,0,1991,0,98029,47.5707,-121.999,1940,5146
0,3,1.5,1260,5758,2.0,0,0,3,7,1260,0,1999,0,98006,47.5524,-122.139,3090,10142
0,4,2.5,2270,13449,1.0,0,0,4,9,1310,960,1975,0,98040,47.5416,-122.23200000000001,2810,13475
0,3,2.5,2040,15463,1.0,0,0,3,8,1340,700,1968,0,98003,47.3334,-122.322,2370,12672
0,2,2.0,1870,6275,1.0,0,0,3,8,1870,0,2003,0,98053,47.7108,-122.031,1670,5200
0,2,1.0,1060,6504,1.0,0,0,3,6,1060,0,1950,0,98155,47.7412,-122.32700000000001,1100,7200
0,3,1.0,1520,8450,1.0,0,0,2,6,1120,400,1961,0,98023,47.328,-122.337,1320,8450
0,3,1.75,2460,4800,1.0,0,0,4,7,1230,1230,1938,0,98112,47.6343,-122.28200000000001,2860,4800
0,4,2.0,2590,7220,2.0,0,2,4,10,2590,0,1930,0,98199,47.647,-122.41,2530,6380
0,3,2.0,1790,7879,1.5,0,0,3,7,1790,0,1998,0,98001,47.2634,-122.289,1790,7879
0,5,4.25,3350,3600,2.0,0,0,3,10,2260,1090,2014,0,98119,47.6351,-122.36399999999999,1810,3600
0,3,2.5,2020,7800,1.0,0,0,4,7,1330,690,1958,0,98133,47.7368,-122.337,1870,7800
0,3,2.25,1590,7748,2.0,0,0,4,7,1590,0,1991,0,98003,47.2857,-122.3,1590,7606
0,3,1.75,1640,7437,1.0,0,0,3,7,1090,550,1948,0,98126,47.5324,-122.38,1640,7436
0,4,2.5,3720,8633,2.0,0,0,3,10,3720,0,1999,0,98074,47.6085,-122.01299999999999,3515,9660
0,4,1.0,2080,5500,1.0,0,0,3,7,1040,1040,1941,0,98117,47.6838,-122.38600000000001,1280,4000
0,3,1.0,1110,7603,1.0,0,0,3,7,1110,0,1967,0,98034,47.7262,-122.22399999999999,1260,8094
0,4,2.5,2360,9647,1.0,0,2,3,8,1530,830,1964,0,98003,47.3367,-122.33200000000001,2580,9680
0,4,3.25,3750,74052,2.0,0,0,3,10,3750,0,2013,0,98053,47.658,-122.006,4920,74052
0,2,1.0,880,6171,1.0,0,0,4,7,880,0,1949,0,98125,47.7262,-122.285,2260,12769
0,4,3.0,3370,7920,1.0,0,3,3,10,1860,1510,1988,0,98117,47.6773,-122.40299999999999,2730,7380
0,3,2.0,2560,216777,1.0,0,0,3,8,2560,0,1986,0,98092,47.295,-122.086,2360,108463
0,3,1.0,900,2550,1.0,0,0,4,6,900,0,1978,0,98023,47.3036,-122.363,1120,2550
0,3,2.25,1646,12414,2.0,0,0,3,7,1646,0,1996,0,98038,47.363,-122.035,1654,8734
0,3,2.0,1850,9600,1.0,0,0,3,7,1850,0,1968,1998,98011,47.7671,-122.225,1770,9600
0,3,2.5,2010,7200,2.0,0,0,3,8,2010,0,1994,0,98028,47.7372,-122.223,1970,7202
0,4,2.25,2920,46355,2.0,0,0,4,9,2920,0,1998,0,98024,47.568999999999996,-121.962,2310,184694
0,4,3.75,3810,9916,2.0,0,0,3,11,3810,0,1989,0,98040,47.5739,-122.234,3040,11250
0,3,1.75,1550,7200,1.0,0,0,3,7,1100,450,1949,0,98125,47.7071,-122.314,1560,7440
0,2,2.25,1530,1324,2.0,0,0,3,8,1280,250,2010,0,98122,47.6032,-122.311,1410,1689
0,3,2.5,2720,62310,1.0,0,0,3,8,2040,680,1985,0,98038,47.4168,-122.074,2770,204296
0,4,2.5,1570,9600,1.0,0,0,3,7,800,770,1972,0,98155,47.7757,-122.303,1340,9110
0,4,3.0,2170,2500,2.0,0,0,3,8,1710,460,1997,0,98115,47.6742,-122.303,2170,4080
0,2,1.0,1050,4125,1.0,0,0,4,7,1050,0,1909,0,98144,47.5736,-122.307,1650,4125
0,3,1.0,1310,8400,1.0,0,0,3,7,1310,0,1972,1989,98034,47.7253,-122.197,1680,8000
0,4,3.25,3940,27591,2.0,0,3,3,9,3440,500,2000,0,98059,47.5157,-122.116,3420,29170
0,4,2.5,1740,7895,2.0,0,0,3,7,1740,0,1999,0,98001,47.3401,-122.28200000000001,1720,6813
0,5,2.5,4150,96574,2.0,0,0,3,10,4150,0,1988,0,98053,47.6664,-122.045,3320,40803
0,4,3.0,2050,4000,2.0,0,0,3,8,2050,0,2014,0,98001,47.3523,-122.275,2050,4000
0,4,2.75,2090,8064,2.0,0,0,5,7,2090,0,1967,0,98033,47.6829,-122.195,1460,8400
0,3,1.0,1810,7200,1.0,0,0,4,7,1130,680,1954,0,98133,47.7493,-122.351,1810,8100
0,3,2.0,1540,3600,2.0,0,0,3,8,1540,0,1900,1988,98112,47.6343,-122.28299999999999,2970,3600
0,4,2.5,2450,12987,1.0,0,0,4,9,2030,420,1980,0,98007,47.6197,-122.15,2730,13685
0,5,1.75,1880,48787,2.0,0,0,3,6,1880,0,1922,0,98059,47.5094,-122.165,1690,8401
0,5,2.25,2760,6350,1.0,0,0,3,7,1380,1380,1958,0,98126,47.5561,-122.37899999999999,2060,6342
0,3,2.0,2000,3207,1.0,0,0,4,7,1100,900,1916,0,98103,47.6561,-122.34100000000001,1460,3200
0,3,1.0,1300,5880,1.0,0,0,3,7,1300,0,1968,0,98052,47.6937,-122.113,1300,7700
0,4,2.25,1900,11171,1.0,0,0,3,8,1280,620,1984,0,98006,47.56100000000001,-122.126,2330,9934
0,4,3.0,3120,157875,2.0,0,0,4,8,3120,0,1977,0,98058,47.443999999999996,-122.18700000000001,1580,7050
0,3,1.0,1130,3600,1.0,0,0,3,6,1130,0,1908,0,98144,47.5978,-122.29899999999999,1710,2231
0,3,3.25,1770,1863,2.0,0,0,3,8,1430,340,2003,0,98029,47.5478,-122.005,1410,1375
0,4,2.25,2500,10062,1.0,0,0,3,8,1600,900,1975,0,98052,47.638999999999996,-122.1,2500,9750
0,5,3.5,3390,7950,2.0,0,2,3,7,3390,0,2003,0,98056,47.4792,-122.181,2580,6900
0,5,3.25,3800,15500,1.0,0,0,3,7,2490,1310,1965,0,98032,47.3862,-122.28,2000,13980
0,2,1.0,1050,403365,1.0,0,3,5,6,1050,0,1905,0,98022,47.2221,-122.059,1760,108900
0,3,1.75,2080,7700,1.0,0,0,5,7,1600,480,1968,0,98056,47.5375,-122.178,1680,7700
0,6,4.75,5770,16747,2.0,0,3,3,12,4500,1270,1998,0,98006,47.5512,-122.11,4470,14571
0,3,2.5,2370,5344,2.0,0,0,3,9,2370,0,2003,0,98065,47.54,-121.863,2990,5418
0,4,2.75,1920,4400,1.0,0,0,4,6,960,960,1906,0,98106,47.5532,-122.365,1040,4400
0,3,2.0,1610,8069,1.0,0,0,5,7,1090,520,1955,0,98006,47.5754,-122.15,1510,8803
0,3,1.75,1540,10400,1.0,0,0,3,6,1540,0,1977,0,98024,47.5651,-121.89,1090,7500
0,3,2.5,2730,7372,2.0,0,0,3,9,2730,0,1998,0,98023,47.2831,-122.346,2710,8343
0,3,2.75,1740,5757,1.0,0,0,3,7,1740,0,2010,0,98022,47.1941,-121.979,2380,5647
0,3,2.5,1530,2890,2.0,0,0,3,7,1530,0,2001,0,98108,47.5434,-122.29299999999999,1540,2890
0,4,2.5,2930,8679,2.0,0,0,3,8,2930,0,2014,0,98056,47.5164,-122.19,2030,7264
0,3,1.0,1420,11040,1.0,0,0,4,7,1420,0,1961,0,98007,47.5969,-122.14,1530,8208
0,2,2.25,1240,750,2.0,0,0,3,7,1150,90,2008,0,98027,47.5322,-122.073,1240,750
0,3,2.5,3200,203425,1.0,0,0,3,10,3200,0,2000,0,98077,47.7614,-122.015,3200,203425
0,2,0.75,1260,4800,1.5,0,2,4,6,1080,180,1942,0,98033,47.6843,-122.212,2660,7200
0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500
0,4,2.5,3320,11901,2.0,0,0,5,9,2650,670,1977,0,98006,47.553999999999995,-122.16,2700,11114
0,4,1.75,1920,3600,2.0,0,0,4,8,1920,0,1907,0,98119,47.6382,-122.368,1920,3600
0,2,1.0,790,7500,1.0,0,0,3,7,790,0,1951,0,98198,47.4007,-122.294,1560,7794
0,3,2.0,1230,11413,1.0,0,0,3,7,990,240,1984,0,98074,47.6321,-122.03399999999999,1570,11517
0,4,3.5,3060,4573,2.0,0,0,3,9,2410,650,2012,0,98029,47.5522,-122.001,3170,3634
0,2,2.0,1550,2400,1.5,0,0,4,7,1550,0,1900,0,98103,47.653999999999996,-122.346,1180,1224
0,4,2.0,1590,6750,1.0,0,0,3,7,1590,0,1951,0,98102,47.6406,-122.31700000000001,2370,4500
0,4,2.5,2680,10590,2.0,0,0,3,8,2680,0,2004,0,98019,47.7377,-121.97,2330,5566
0,4,1.75,1730,9520,1.0,0,0,4,7,1730,0,1971,0,98059,47.4756,-122.15700000000001,1550,11211
0,4,2.5,3430,7200,2.0,0,0,3,9,3430,0,2014,0,98033,47.6842,-122.196,1530,7800
0,4,2.0,1880,14653,2.0,0,0,3,8,1880,0,1978,0,98014,47.6959,-121.921,1750,14858
0,6,3.5,4860,11793,2.0,0,0,3,11,3860,1000,1998,0,98006,47.5521,-122.137,3600,11793
0,4,2.5,3490,3677,2.0,0,0,3,9,2850,640,2007,0,98072,47.773999999999994,-122.162,3440,3600
0,5,2.0,2050,3000,1.5,0,0,3,7,1470,580,1912,1984,98103,47.6864,-122.352,1560,4500
0,3,2.5,1620,1171,3.0,0,4,3,8,1470,150,2008,0,98103,47.6681,-122.355,1620,1505
0,3,1.0,1010,6300,1.0,0,0,3,7,1010,0,1957,0,98133,47.7304,-122.352,1480,7480
0,4,2.75,4280,12668,2.0,0,0,3,9,3900,380,1947,2008,98004,47.6185,-122.219,3590,12670
0,4,2.0,2070,7830,1.0,0,1,5,7,1180,890,1941,0,98125,47.7058,-122.27799999999999,2390,7830
0,3,1.75,3440,10428,1.5,0,0,5,8,3440,0,1974,0,98058,47.449,-122.12799999999999,2160,8400
0,4,2.5,2540,4727,2.0,0,0,3,9,2540,0,1999,0,98034,47.7034,-122.236,3640,5129
0,3,1.0,1540,3399,1.5,0,0,3,7,1200,340,1926,0,98117,47.6853,-122.359,1500,3914
0,4,1.0,1420,6000,1.5,0,0,3,7,1420,0,1950,0,98115,47.6844,-122.302,1420,6180
0,3,2.25,1860,13939,1.0,0,0,4,7,1860,0,1961,0,98030,47.3746,-122.21700000000001,1530,10018
0,2,1.75,1450,4000,1.5,0,0,4,7,1350,100,1903,0,98105,47.6571,-122.32600000000001,1310,4000
0,2,1.75,1280,4000,1.0,0,0,4,7,730,550,1929,0,98116,47.5798,-122.383,2250,5382
0,2,1.0,1240,42247,1.0,0,1,4,7,1240,0,1915,0,98056,47.5169,-122.20100000000001,1550,12459
0,4,1.75,1950,13440,1.5,0,0,4,6,1950,0,1931,0,98065,47.5232,-121.821,1300,7432
0,3,1.0,1000,4000,1.5,0,0,4,6,1000,0,1915,0,98118,47.5523,-122.286,1040,4240
0,4,2.5,1750,4779,2.0,0,0,3,7,1750,0,2009,0,98028,47.7608,-122.23200000000001,1580,4687
0,4,3.5,3530,8126,2.0,0,0,3,10,3530,0,2007,0,98033,47.6847,-122.2,2660,8126
0,2,1.0,1070,5280,1.0,0,0,3,6,1070,0,1900,0,98122,47.6168,-122.303,1380,2370
0,2,1.75,1550,4257,1.0,0,3,3,7,830,720,1953,0,98136,47.5274,-122.384,1920,5100
0,4,2.5,3170,94855,1.0,0,0,4,9,1910,1260,1978,0,98072,47.7648,-122.11200000000001,2590,65340
0,4,2.25,2460,11250,1.0,0,0,4,8,2460,0,1959,0,98002,47.3182,-122.212,1630,10216
0,4,3.5,4000,15253,2.0,0,0,3,9,4000,0,2007,0,98065,47.5433,-121.887,3550,8747
0,2,1.0,1550,7713,1.0,0,0,3,7,1550,0,1930,1979,98117,47.7005,-122.35799999999999,1340,6350
0,3,2.5,2340,3466,2.0,0,0,3,7,2340,0,2004,0,98065,47.5322,-121.851,1970,3739
0,4,3.25,3450,6184,2.0,0,0,3,9,3450,0,2014,0,98074,47.6072,-122.054,3020,5369
0,3,1.5,1360,1795,2.0,0,0,3,7,1360,0,1945,0,98199,47.6471,-122.397,1580,1795
0,5,2.75,3020,9187,2.0,0,0,3,9,3020,0,2007,0,98033,47.6806,-122.167,2250,9675
0,3,1.0,890,7200,1.0,0,0,3,7,890,0,1951,0,98125,47.71,-122.286,1630,7455
0,3,2.5,2250,9608,2.0,0,0,3,8,2250,0,1994,0,98045,47.4865,-121.802,2020,9834
0,3,1.75,1950,7260,1.0,0,0,3,8,1520,430,1957,0,98133,47.7187,-122.33,1950,7548
0,4,2.5,2070,10244,1.0,0,0,3,8,1370,700,1969,0,98006,47.5592,-122.178,2070,9683
0,4,2.5,2692,8392,2.0,0,0,3,9,2692,0,2014,0,98030,47.3519,-122.197,2574,14446
0,3,1.0,1460,8400,1.0,0,0,4,6,1460,0,1962,0,98023,47.3086,-122.365,1060,8563
0,4,3.25,4690,14930,2.0,0,2,3,10,3680,1010,1995,0,98155,47.7718,-122.28299999999999,2910,13320
0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,1984,0,98033,47.6477,-122.182,3740,35230
0,3,2.0,1553,6550,1.0,0,0,3,7,1553,0,1900,2001,98022,47.2056,-121.994,1010,10546
0,3,1.0,2020,4120,1.5,0,0,4,7,1520,500,1929,0,98118,47.5514,-122.271,1200,4635
0,2,1.0,1010,10057,1.0,0,0,3,6,1010,0,1961,0,98023,47.3286,-122.336,1040,8591
0,4,2.75,2300,18360,1.0,0,0,4,7,1560,740,1979,0,98058,47.4518,-122.16,1870,9588
0,4,2.5,2210,5929,2.0,0,0,3,8,2210,0,2004,0,98042,47.35,-122.139,2200,5901
0,2,1.0,890,5200,1.0,0,0,4,6,890,0,1941,0,98126,47.5311,-122.37299999999999,950,5200
0,2,1.0,840,5000,1.0,0,0,4,7,840,0,1908,0,98117,47.6803,-122.37100000000001,1240,5000
0,4,3.5,3630,5670,2.0,0,0,3,10,3630,0,1970,2008,98056,47.5189,-122.206,1620,5400
0,3,2.25,1480,97138,1.5,0,0,3,7,1480,0,1984,0,98010,47.3317,-121.927,1730,176418
0,3,2.25,1860,5028,2.0,0,0,3,8,1860,0,2012,0,98019,47.7318,-121.98200000000001,2320,5465
0,3,3.25,2210,3600,2.0,0,0,3,8,1820,390,1995,0,98125,47.7031,-122.279,2010,6690
0,3,3.25,2230,5460,1.0,0,1,4,8,1430,800,1977,0,98136,47.53,-122.38799999999999,2070,5600
0,4,2.0,1610,4770,1.0,0,0,4,7,1230,380,1941,0,98126,47.5333,-122.381,1180,6120
0,3,2.0,2100,31550,1.0,0,0,3,8,2100,0,2010,0,98014,47.6907,-121.917,1860,18452
0,4,2.75,3410,95396,1.5,0,0,4,10,3410,0,1962,0,98005,47.6547,-122.15799999999999,3721,35352
0,3,1.75,1560,82328,1.0,0,0,3,7,1560,0,1974,0,98070,47.3674,-122.50299999999999,2100,205603
0,2,2.5,1233,1244,2.0,0,0,3,7,963,270,2007,0,98136,47.5533,-122.381,1230,1300
0,2,1.0,1280,12086,1.0,0,0,3,7,850,430,1983,0,98074,47.63399999999999,-122.03299999999999,1280,10452
0,3,2.0,1260,2550,2.0,0,0,3,7,1260,0,1987,0,98117,47.6821,-122.37799999999999,1590,3825
0,3,2.0,1880,4000,1.0,0,2,3,8,1280,600,1950,0,98199,47.6375,-122.391,1920,4000
0,4,3.0,1540,4140,1.5,0,0,5,7,1540,0,1902,0,98107,47.6728,-122.396,1460,5000
0,3,2.5,1780,47480,2.0,0,0,3,7,1780,0,1995,0,98045,47.4723,-121.70700000000001,1890,51836
0,2,1.75,1840,7230,1.0,0,0,3,7,1570,270,1938,0,98030,47.3815,-122.228,1282,6769
0,3,2.25,2090,7500,1.0,0,0,4,7,1280,810,1977,0,98031,47.3951,-122.17200000000001,1800,7350
0,3,3.25,2460,4182,2.0,0,0,5,8,2100,360,1910,0,98115,47.6782,-122.311,2370,4284
0,4,2.25,2740,11343,1.0,0,2,5,10,1980,760,1953,0,98125,47.7117,-122.27799999999999,2790,10027
0,2,1.0,950,8100,1.0,0,0,3,6,950,0,1955,0,98166,47.4572,-122.351,1620,7630
0,4,2.5,2300,8100,1.0,0,0,4,8,1360,940,1979,0,98023,47.2979,-122.37100000000001,1910,7630
0,3,2.5,2620,9112,2.0,0,0,3,9,2620,0,1995,0,98052,47.6972,-122.116,2620,9067
0,3,1.75,2070,37904,1.0,0,0,4,7,1420,650,1973,0,98058,47.425,-122.186,2011,19110
0,5,1.75,2100,9599,1.0,0,0,3,7,1060,1040,1961,0,98034,47.7097,-122.21600000000001,1680,10712
0,4,3.75,5300,37034,2.0,0,0,3,11,5300,0,1989,0,98077,47.7283,-122.07600000000001,3730,37034
0,3,2.25,1800,11200,1.0,0,0,3,8,1270,530,1979,0,98052,47.7072,-122.164,1940,11250
0,4,2.5,3010,3120,2.5,0,2,3,8,3010,0,2006,0,98029,47.5539,-121.99600000000001,2140,3840
0,3,1.75,1880,8706,1.0,0,0,3,7,940,940,1927,0,98155,47.7362,-122.292,1880,7200
0,5,2.5,2520,27951,1.5,0,0,3,7,1890,630,1942,1970,98155,47.7733,-122.318,1830,14373
0,3,4.0,4200,30120,2.0,0,2,4,11,3600,600,1933,0,98112,47.6379,-122.311,2760,12200
0,4,2.75,3100,14568,2.0,0,0,3,8,3100,0,1995,0,98019,47.7302,-121.97399999999999,2860,14396
0,3,1.75,1670,5400,2.0,0,0,5,8,1670,0,1912,0,98112,47.635,-122.28399999999999,2100,5400
0,4,2.25,2100,12738,2.0,0,0,4,8,2100,0,1975,0,98059,47.4698,-122.118,2000,12090
0,2,1.0,1240,6400,1.0,0,1,4,7,1060,180,1938,0,98126,47.5493,-122.37700000000001,1240,6400
0,4,3.75,4490,34982,2.0,0,0,3,12,4490,0,1998,0,98005,47.6406,-122.156,4470,37525
0,3,1.0,1290,8974,1.0,0,0,5,7,1290,0,1976,0,98072,47.74,-122.17299999999999,1540,7500
0,3,2.0,1230,3405,1.0,0,0,3,7,1230,0,2010,0,98058,47.438,-122.179,1440,4066
0,3,2.25,2680,98445,1.0,0,0,5,8,2680,0,1962,0,98059,47.5015,-122.10799999999999,2340,98445
0,4,1.75,1970,8390,1.0,0,0,3,7,1140,830,1955,0,98178,47.4861,-122.251,1710,10890
0,5,1.75,2550,71874,1.0,0,0,5,7,1810,740,1960,0,98027,47.4845,-122.08,2170,51400
0,5,2.0,1860,9000,2.0,0,0,3,7,1860,0,1980,0,98045,47.4484,-121.772,1390,9752
0,2,1.75,1560,4500,1.0,0,0,3,8,1560,0,2004,0,98053,47.7128,-122.03200000000001,1860,4500
0,5,4.25,4650,108464,2.0,0,0,3,10,3260,1390,1999,0,98024,47.5669,-121.956,2810,155509
0,4,2.75,2910,9000,1.0,0,0,4,8,2130,780,1966,0,98006,47.544,-122.176,1970,9000
0,5,2.75,3240,6863,2.0,0,0,3,10,3240,0,2013,0,98056,47.5033,-122.193,2360,6002
0,4,2.5,2550,10623,2.0,0,0,3,9,2550,0,1992,0,98029,47.5695,-121.992,2750,8100
0,3,2.5,1320,1780,2.0,0,0,3,7,880,440,2005,0,98118,47.528,-122.26899999999999,3040,6000
0,4,2.25,2010,7200,1.0,0,1,4,8,1010,1000,1950,0,98118,47.5591,-122.26700000000001,2010,7200
0,3,2.5,2620,108464,2.0,0,0,4,8,2620,0,1990,0,98038,47.4583,-122.036,3190,105850
0,2,1.0,1170,3000,1.5,0,0,3,7,1170,0,1910,0,98103,47.6697,-122.338,1530,4000
0,3,2.5,2240,3691,2.0,0,0,3,7,2240,0,2003,0,98092,47.3364,-122.169,2619,3691
0,5,3.25,3850,16249,2.0,0,2,3,9,3030,820,2002,0,98092,47.3324,-122.16799999999999,2640,7393
0,3,3.0,1833,1706,3.0,0,0,3,9,1833,0,1998,0,98115,47.6827,-122.325,1466,1455
0,5,1.75,1960,7875,1.0,0,0,4,7,1960,0,1968,0,98034,47.7256,-122.18,1800,7764
0,3,2.5,1880,7000,2.0,0,0,3,8,1880,0,1993,0,98031,47.4206,-122.184,1880,7000
0,4,2.5,2020,4350,2.0,0,0,5,9,1730,290,1943,0,98199,47.6503,-122.41,1620,5800
0,4,2.5,1900,8282,1.0,0,0,3,7,1900,0,1968,1997,98022,47.2089,-122.00299999999999,1420,8350
0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,1915,1978,98166,47.4497,-122.375,2030,13193
0,2,1.0,820,4234,1.0,0,1,3,6,820,0,1951,0,98136,47.5294,-122.38600000000001,1550,4236
0,2,1.5,2440,6900,2.0,0,0,3,7,1590,850,1910,0,98118,47.5568,-122.271,1770,6900
0,4,3.5,3780,7769,2.0,0,0,3,9,3110,670,2001,0,98052,47.691,-122.12899999999999,3310,7945
0,3,2.5,3490,8343,2.0,1,4,4,9,2150,1340,1939,1991,98125,47.7265,-122.281,2990,13104
0,4,2.5,3680,11648,2.0,0,0,3,10,3680,0,1986,0,98006,47.5604,-122.10700000000001,2830,11251
0,2,1.0,980,1600,2.0,0,0,3,8,980,0,2010,0,98119,47.638000000000005,-122.375,1180,1600
